TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,40,6.429637468703727e-18,2.4461674159215164e-21,3.7573893875827764e-20,Z,20,20
30,hard,1.44,1.0,40,6.429637468703727e-18,2.4461674159215164e-21,3.7573893875827764e-20,Z,100,100
30,hard,1.44,1.0,40,6.429637468703727e-18,2.4461674159215164e-21,3.7573893875827764e-20,I,100,100
30,hard,1.44,1.0,40,6.429637468703727e-18,2.4461674159215164e-21,3.7573893875827764e-20,I,200,200
30,hard,1.44,1.0,40,6.429637468703727e-18,2.4461674159215164e-21,3.7573893875827764e-20,Z,200,200
30,hard,1.44,1.0,40,6.4296374379792274e-18,2.446167404238425e-21,3.7573893696282223e-20,Z,300,300
30,hard,1.44,1.0,40,6.4296374379792274e-18,2.446167404238425e-21,3.7573893696282223e-20,P,100,300
30,hard,1.44,1.0,40,6.42963740664214e-18,2.44621604186392e-21,3.7573893306694425e-20,I,300,300
30,hard,1.44,1.0,40,6.4290593043715525e-18,3.238146670974533e-21,3.756330652422868e-20,I,350,350
30,hard,1.44,1.0,40,6.428472844713641e-18,3.2378512868019057e-21,3.7559879994359533e-20,Z,350,350
30,hard,1.44,1.0,40,3.333808481843316e-18,1.6791509186646387e-21,1.947856816493427e-20,Z,400,400
30,hard,1.44,1.0,40,3.333808465408779e-18,1.6791994630751075e-21,1.947856786015756e-20,P,300,400
30,hard,1.44,1.0,40,1.7494945512704204e-18,3.5082267115259055e-18,-1.8040926933707575e-20,I,400,400
30,hard,1.44,1.0,40,2.2837533395839303e-21,6.633096750350933e-18,-4.478098381549414e-20,I,425,425
30,hard,1.44,1.0,40,-3.840446557884379e-33,5.049845901935417e-33,-7.869622166098735e-34,Z,425,425
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,450,450
30,hard,1.44,1.0,40,1.5178692517989854e-20,3.514172036722038e-18,-2.7973226574804803e-20,P,400,450
30,hard,1.44,1.0,40,1.8771518042445546e-21,6.425144337306505e-18,-4.3277858488021756e-20,I,450,450
30,hard,1.44,1.0,40,1.849987404562438e-21,6.429892728243065e-18,-4.327955977676394e-20,I,475,475
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,475,475
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,500,500
30,hard,1.44,1.0,40,1.8835838401946215e-21,6.429572773469818e-18,-4.331917594169122e-20,P,450,500
30,hard,1.44,1.0,40,1.8816148374701743e-21,6.424204223100406e-18,-4.3277398825655124e-20,I,500,500
30,hard,1.44,1.0,40,1.814577862230295e-21,6.425704047901136e-18,-4.3227507234727053e-20,I,520,520
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,520,520
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,540,540
30,hard,1.44,1.0,40,1.814577862230295e-21,6.425704047901136e-18,-4.3227507234727053e-20,P,500,540
30,hard,1.44,1.0,40,1.8816495590669224e-21,6.424197530276234e-18,-4.327736229823305e-20,I,540,540
30,hard,1.44,1.0,40,2.0396303601173685e-21,6.426640155338919e-18,-4.340502285262558e-20,I,560,560
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,560,560
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,579,579
30,hard,1.44,1.0,40,1.814577862230295e-21,6.425704047901136e-18,-4.3227507234727053e-20,P,540,579
30,hard,1.44,1.0,40,2.033278749831512e-21,6.424444578480894e-18,-4.33974427017668e-20,I,579,579
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,Z,20,20
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,Z,100,100
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,I,100,100
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,I,200,200
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,Z,200,200
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,Z,300,300
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,P,100,300
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,I,300,300
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,I,350,350
30,hard,1.44,1.0,50,1.6285163244180157e-17,3.306335102020638e-21,9.423665106012813e-20,Z,350,350
30,hard,1.44,1.0,50,1.628516324417125e-17,3.306335102027174e-21,9.423665106006471e-20,Z,400,400
30,hard,1.44,1.0,50,1.628516324417125e-17,3.306335102027174e-21,9.423665106006471e-20,P,300,400
30,hard,1.44,1.0,50,1.6285163244162044e-17,3.3063351171764488e-21,9.42366510599688e-20,I,400,400
30,hard,1.44,1.0,50,1.628516321589001e-17,3.3063799595183473e-21,9.423665087444344e-20,I,425,425
30,hard,1.44,1.0,50,1.628516318722942e-17,3.3063799537062036e-21,9.423665070858823e-20,Z,425,425
30,hard,1.44,1.0,50,1.6285105418889845e-17,3.3063682250566646e-21,9.42363164229888e-20,Z,450,450
30,hard,1.44,1.0,50,1.628510541888062e-17,3.3063682402007333e-21,9.423631642287469e-20,P,400,450
30,hard,1.44,1.0,50,1.6285048735204454e-17,3.386791311558374e-21,9.423518650266393e-20,I,450,450
30,hard,1.44,1.0,50,1.614873522743423e-17,1.7501695810275626e-19,9.31355139968749e-20,I,475,475
30,hard,1.44,1.0,50,1.6012146654448387e-17,1.735366368132994e-19,9.234775899494716e-20,Z,475,475
30,hard,1.44,1.0,50,1.834197676999777e-23,1.9878691010691059e-25,1.0578470294875745e-25,Z,500,500
