TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,40,7.89038901792327e-18,3.487727325935897e-21,4.631498363487006e-20,Z,20,20
30,hard,1.44,1.0,40,7.89038901792327e-18,3.487727325935897e-21,4.631498363487006e-20,Z,100,100
30,hard,1.44,1.0,40,7.89038901792327e-18,3.487727325935897e-21,4.631498363487006e-20,I,100,100
30,hard,1.44,1.0,40,7.89038901792327e-18,3.487727325935897e-21,4.631498363487006e-20,I,200,200
30,hard,1.44,1.0,40,7.89038901792327e-18,3.487727325935897e-21,4.631498363487006e-20,Z,200,200
30,hard,1.44,1.0,40,7.890388980226342e-18,3.487727309251147e-21,4.631498341359994e-20,Z,300,300
30,hard,1.44,1.0,40,7.890388980226342e-18,3.487727309251147e-21,4.631498341359994e-20,P,100,300
30,hard,1.44,1.0,40,7.890388941848647e-18,3.487776004777577e-21,4.631498298287989e-20,I,300,300
30,hard,1.44,1.0,40,7.889678287626951e-18,4.278631918321905e-21,4.630356696698876e-20,I,350,350
30,hard,1.44,1.0,40,7.888958385034202e-18,4.278241509734423e-21,4.629934194579714e-20,Z,350,350
30,hard,1.44,1.0,40,4.090758740781894e-18,2.2184492548913913e-21,2.400816793714818e-20,Z,400,400
30,hard,1.44,1.0,40,4.09075872070606e-18,2.2184978117032344e-21,2.4008167611191084e-20,P,300,400
30,hard,1.44,1.0,40,2.1428221418497208e-18,3.507857612474265e-18,-1.574779476880256e-20,I,400,400
30,hard,1.44,1.0,40,2.268768915028001e-21,6.63273101725576e-18,-4.4767596751909977e-20,I,425,425
30,hard,1.44,1.0,40,1.8277484921246706e-33,6.17671604853372e-33,-5.306477819438584e-33,Z,425,425
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,450,450
30,hard,1.44,1.0,40,1.5185402163733424e-20,3.514587946904131e-18,-2.798045475303183e-20,P,400,450
30,hard,1.44,1.0,40,1.9247174318249464e-21,6.4284808216750736e-18,-4.333387759824596e-20,I,450,450
30,hard,1.44,1.0,40,1.9247005486957503e-21,6.4284804655584935e-18,-4.3333871287613196e-20,I,475,475
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,475,475
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,500,500
30,hard,1.44,1.0,40,1.9247174318249464e-21,6.4284808216750736e-18,-4.333387759824596e-20,P,450,500
30,hard,1.44,1.0,40,1.924700548292328e-21,6.428480465567718e-18,-4.333387128740273e-20,I,500,500
30,hard,1.44,1.0,40,1.924700548284793e-21,6.428480465566246e-18,-4.333387128738715e-20,I,520,520
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,520,520
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,540,540
30,hard,1.44,1.0,40,1.924700548292328e-21,6.428480465567718e-18,-4.333387128740273e-20,P,500,540
30,hard,1.44,1.0,40,1.924700548316959e-21,6.428480465567699e-18,-4.333387128742661e-20,I,540,540
30,hard,1.44,1.0,40,1.924700548304031e-21,6.4284804655660555e-18,-4.333387128740054e-20,I,560,560
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,560,560
30,hard,1.44,1.0,40,-1.0713362187768565e-33,-2.284973997398948e-34,-2.7385712269222725e-33,Z,579,579
30,hard,1.44,1.0,40,1.924700548316959e-21,6.428480465567699e-18,-4.333387128742661e-20,P,540,579
30,hard,1.44,1.0,40,1.9247005484145073e-21,6.42848046556317e-18,-4.333387128745427e-20,I,579,579
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,Z,20,20
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,Z,100,100
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,I,100,100
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,I,200,200
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,Z,200,200
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,Z,300,300
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,P,100,300
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,I,300,300
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,I,350,350
30,hard,1.44,1.0,50,1.962767890280943e-17,4.117374378836383e-21,1.1440189460105638e-19,Z,350,350
30,hard,1.44,1.0,50,1.9627678902798693e-17,4.117374378847216e-21,1.1440189460098762e-19,Z,400,400
30,hard,1.44,1.0,50,1.9627678902798693e-17,4.117374378847216e-21,1.1440189460098762e-19,P,300,400
30,hard,1.44,1.0,50,1.9627678902787646e-17,4.117374394002082e-21,1.144018946008725e-19,I,400,400
30,hard,1.44,1.0,50,1.9627678868700862e-17,4.117419235448381e-21,1.1440189437838932e-19,I,425,425
30,hard,1.44,1.0,50,1.962767883416406e-17,4.117419228203526e-21,1.1440189417705558e-19,Z,425,425
30,hard,1.44,1.0,50,1.9627609185016974e-17,4.117404617517361e-21,1.1440148821997942e-19,Z,450,450
30,hard,1.44,1.0,50,1.9627609185005914e-17,4.117404632688561e-21,1.1440148821985583e-19,P,400,450
30,hard,1.44,1.0,50,1.9627540736616093e-17,4.197687679255296e-21,1.1440028337951148e-19,I,450,450
30,hard,1.44,1.0,50,1.9463264883339222e-17,1.7576202470882928e-19,1.1312506015650821e-19,I,475,475
30,hard,1.44,1.0,50,1.929863016183258e-17,1.7427529922041598e-19,1.121681645439008e-19,Z,475,475
30,hard,1.44,1.0,50,2.2029465391075728e-23,1.9893598953356592e-25,1.2804038145643943e-25,Z,500,500
30,hard,1.44,1.0,50,2.2785118411955676e-23,8.112886782222806e-23,-6.451207910089797e-25,P,450,500
30,hard,1.44,1.0,50,5.892862147754737e-21,1.7406808353254386e-17,-1.17445205952039e-19,I,500,500
30,hard,1.44,1.0,50,7.638563470533118e-21,1.6287870673026518e-17,-1.103371458933832e-19,I,520,520
30,hard,1.44,1.0,50,-2.0893682610066782e-33,-4.456259448449865e-34,-5.34088524382213e-33,Z,520,520
30,hard,1.44,1.0,50,-2.0893682610066782e-33,-4.456259448449865e-34,-5.34088524382213e-33,Z,540,540
30,hard,1.44,1.0,50,5.8928621258068575e-21,1.7406808353169186e-17,-1.1744520595376002e-19,P,500,540
30,hard,1.44,1.0,50,7.638597413998588e-21,1.6287870276600373e-17,-1.1033715210807707e-19,I,540,540
30,hard,1.44,1.0,50,7.638597414132386e-21,1.6287870276606373e-17,-1.1033715210811448e-19,I,560,560
30,hard,1.44,1.0,50,-2.0893682610066782e-33,-4.456259448449865e-34,-5.34088524382213e-33,Z,560,560
30,hard,1.44,1.0,50,-2.0893682610066782e-33,-4.456259448449865e-34,-5.34088524382213e-33,Z,579,579
30,hard,1.44,1.0,50,7.638597413998588e-21,1.6287870276600373e-17,-1.1033715210807707e-19,P,540,579
30,hard,1.44,1.0,50,7.638597413547312e-21,1.6287870276551402e-17,-1.1033715210729726e-19,I,579,579
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,20,20
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,100,100
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,100,100
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,200,200
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,200,200
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,300,300
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,P,100,300
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,300,300
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,350,350
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,350,350
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,400,400
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,P,300,400
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,400,400
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,425,425
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,425,425
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,Z,450,450
