TMx,alignment,PRO,OBL,size,particle_n
30,hard,1.44,1.0,40,0.01628523573959863
30,hard,1.44,1.0,50,0.015670388680251474
30,hard,1.44,1.0,60,0.01309823390444599
30,hard,1.44,1.0,70,0.010146719070950107
30,hard,1.44,1.0,80,0.007531896953605344
30,hard,1.44,1.0,90,0.005458030875842921
30,hard,1.44,1.0,100,0.003903898157108547
30,hard,1.44,1.0,110,0.002774796837228105
30,hard,1.44,1.0,120,0.001968314186933364
30,hard,1.44,1.0,130,0.001397293348022018
30,hard,1.44,1.0,140,0.0009944693522903388
30,hard,1.44,1.0,150,0.0007104180985544877
30,hard,1.44,1.0,160,0.0005097794432292348
30,hard,1.44,1.0,170,0.00036762122167066966
30,hard,1.44,1.0,180,0.0002664949785711723
30,hard,1.44,1.0,190,0.0001942271096946414
30,hard,1.44,1.0,200,0.0001423261885781627
30,hard,1.44,1.0,210,0.00010485947085870974
30,hard,1.44,1.0,220,7.766988079140021e-05
30,hard,1.44,1.0,230,5.783365978985829e-05
30,hard,1.44,1.0,240,4.3285628996952433e-05
