Tmx Prolateness Oblateness Size tr Tb
0 1.44 1 40 9.99999999999999E+017 424
0 1.44 1 50 9.99999999999999E+017 504
0 1.44 1 60 9.99999999999999E+017 540
0 1.44 1 70 9.99999999999999E+017 557
0 1.44 1 80 9.99999999999999E+017 566
0 1.44 1 90 9.99999999999999E+017 568
0 1.44 1 100 9.99999999999999E+017 568
0 1.44 1 110 9.99999999999999E+017 179
0 1.44 1 120 9.99999999999999E+017 208
0 1.44 1 130 9.99999999999999E+017 233
0 1.44 1 140 9.99999999999999E+017 253
0 1.44 1 150 9.99999999999999E+017 268
0 1.44 1 160 9.99999999999999E+017 283
0 1.44 1 170 9.99999999999999E+017 292
0 1.44 1 180 9.99999999999999E+017 305
0 1.44 1 190 9.99999999999999E+017 311
0 1.44 1 200 9.99999999999999E+017 310
0 1.44 1 210 9.99999999999999E+017 311
0 1.44 1 220 9.99999999999999E+017 305
0 1.44 1 230 9.99999999999999E+017 328
0 1.44 1 240 9.99999999999999E+017 368
5 1.44 1 40 9.99999999999999E+017 385
5 1.44 1 50 9.99999999999999E+017 472
5 1.44 1 60 9.99999999999999E+017 512
5 1.44 1 70 9.99999999999999E+017 532
5 1.44 1 90 9.99999999999999E+017 547
5 1.44 1 100 9.99999999999999E+017 549
5 1.44 1 110 9.99999999999999E+017 538
5 1.44 1 120 9.99999999999999E+017 227
5 1.44 1 130 9.99999999999999E+017 252
5 1.44 1 140 9.99999999999999E+017 272
5 1.44 1 150 9.99999999999999E+017 286
5 1.44 1 170 9.99999999999999E+017 310
5 1.44 1 180 9.99999999999999E+017 319
5 1.44 1 190 9.99999999999999E+017 329
5 1.44 1 200 9.99999999999999E+017 335
5 1.44 1 210 9.99999999999999E+017 336
5 1.44 1 220 9.99999999999999E+017 333
5 1.44 1 230 9.99999999999999E+017 332
5 1.44 1 240 9.99999999999999E+017 329
10 1.44 1 50 9.99999999999999E+017 438
10 1.44 1 60 9.99999999999999E+017 481
10 1.44 1 70 9.99999999999999E+017 503
10 1.44 1 80 9.99999999999999E+017 514
10 1.44 1 100 9.99999999999999E+017 529
10 1.44 1 110 9.99999999999999E+017 524
10 1.44 1 120 9.99999999999999E+017 515
10 1.44 1 130 9.99999999999999E+017 250
10 1.44 1 150 9.99999999999999E+017 286
10 1.44 1 160 9.99999999999999E+017 298
10 1.44 1 170 9.99999999999999E+017 306
10 1.44 1 180 9.99999999999999E+017 318
10 1.44 1 190 9.99999999999999E+017 324
10 1.44 1 200 9.99999999999999E+017 333
10 1.44 1 210 9.99999999999999E+017 340
10 1.44 1 220 9.99999999999999E+017 342
10 1.44 1 230 9.99999999999999E+017 339
10 1.44 1 240 9.99999999999999E+017 336
15 1.44 1 40 9.99999999999999E+017 296
15 1.44 1 50 9.99999999999999E+017 400
15 1.44 1 60 9.99999999999999E+017 447
15 1.44 1 70 9.99999999999999E+017 471
15 1.44 1 80 9.99999999999999E+017 484
15 1.44 1 120 9.99999999999999E+017 481
15 1.44 1 140 9.99999999999999E+017 259
15 1.44 1 160 9.99999999999999E+017 287
15 1.44 1 170 9.99999999999999E+017 295
15 1.44 1 180 9.99999999999999E+017 306
15 1.44 1 190 9.99999999999999E+017 313
15 1.44 1 200 9.99999999999999E+017 322
15 1.44 1 210 9.99999999999999E+017 327
15 1.44 1 220 9.99999999999999E+017 333
15 1.44 1 230 9.99999999999999E+017 338
15 1.44 1 240 9.99999999999999E+017 336
30 1.44 1 40 283160146.719524 111
30 1.44 1 50 9.99999999999999E+017 273
30 1.44 1 60 9.99999999999999E+017 333
30 1.44 1 70 9.99999999999999E+017 362
30 1.44 1 80 9.99999999999999E+017 378
30 1.44 1 90 9.99999999999999E+017 387
30 1.44 1 100 9.99999999999999E+017 392
30 1.44 1 110 9.99999999999999E+017 396
30 1.44 1 150 9.99999999999999E+017 394
30 1.44 1 160 9.99999999999999E+017 223
30 1.44 1 170 9.99999999999999E+017 237
30 1.44 1 180 9.99999999999999E+017 247
